"ID","Coupon"
"2","1.500000"
"4","2.750000"
"14","2.250000"
"18","2.500000"
"33","5.750000"
"47","1.000000"
"544","9.000000"
"572","8.000000"
"600","5.750000"
"743","5.000000"
"863","4.000000"
"1061","3.500000"
"1389","2.750000"
"18211","2.000000"
"22022","2.000000"
"23043","2.250000"
"24089","2.250000"
"28171","1.500000"
"57357","1.250000"
"60691","1.250000"
"69486","0.500000"
"95660","0.500000"
"95841","0.250000"
"96011","0.250000"
"100761","1.000000"
"101016","1.500000"
"102904","0.750000"
"103294","1.750000"
"104994","1.250000"
"105192","0.750000"
"105225","1.500000"
"107284","1.500000"
"107909","1.500000"
"108613","2.000000"
"109056","2.250000"
"110488","2.750000"
"110670","2.750000"
"111823","3.000000"
"112003","2.500000"
"112121","3.000000"
"113376","3.500000"
"113740","3.750000"
"116207","3.245000"
"117086","3.000000"
"117301","2.750000"
"117489","2.750000"
"117606","3.750000"
